Item No	Item Description	Product Group	PUOM	PUOMDESC	QtyPerUOM	UPC13	PackPrice	PackCost	Stock	ItemType	Remove this row and save it as tab delimited to import in ZWMS
101182	HALAWA CHOCLATE 500 GR  TEMA-1109B	1109B	001	1 X 1	1	6281100250623	23.91	15.14	100	Stockable	
1012	BITTER GOURD-3201C	3201C	KG	Kilograms	1	1012	6.3	5.25	100	Stockable	
1013	OKRA INDIA SMALL-3201C	3201C	KG	Kilograms	1	1013	12.13	10.68	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	001	1 X 1	1	2001001013530	0.43	0.18	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	001	1 X 1	1	6281004607035	0.43	0.18	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	050	50 X 1	50	6281004607011	16.96	9.07	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	050	50 X 1	50	6281004607028	16.96	9.07	100	Stockable	
1014	PUMPKIN PINOY-3201C	3201C	KG	Kilograms	1	1014	6.52	5.52	100	Stockable	
1015	LIME  EGYPT SMALL-3201C	3201C	KG	Kilograms	1	1015	7.78	7.14	100	Stockable	
1016	BEANS GREEN -3201C	3201C	KG	Kilograms	1	1016	13.87	9	100	Stockable	
101677	SMOOTH PEANUT BUTTER   510GRAMS  WAFRA-1109B	1109B	001	1 X 1	1	2001001016777	10.87	8.67	100	Stockable	
101677	SMOOTH PEANUT BUTTER   510GRAMS  WAFRA-1109B	1109B	001	1 X 1	1	6281044462366	10.87	8.67	100	Stockable	
101677	SMOOTH PEANUT BUTTER   510GRAMS  WAFRA-1109B	1109B	012	12 X 1	12	2012001016773	121.5	103.98	100	Stockable	
101677	SMOOTH PEANUT BUTTER   510GRAMS  WAFRA-1109B	1109B	012	12 X 1	12	6281044062368	121.5	103.98	100	Stockable	
101681	TEA BISCUIT 150 GRAMS  DEEMAH-1122A	1122A	012	12 X 1	12	776992950196	18.22	14.84	100	Stockable	
101681	TEA BISCUIT 150 GRAMS  DEEMAH-1122A	1122A	001	1 X 1	1	776992050193	1.52	1.24	100	Stockable	
101681	TEA BISCUIT 150 GRAMS  DEEMAH-1122A	1122A	273	6 X 12	72	776992850199	108.65	89.02	100	Stockable	
1017	GINGER   -3201C	3201C	KG	Kilograms	1	1017	21.7	12	100	Stockable	
101700	FILLET FISH FROZEN ARCTICGLD BREADED  300G-3205A	3205A	001	1 X 1	1	6291010902369	12.5	0	100	Stockable	
101720	PEAS FROZEN  800GR SUNBULAH-3205I	3205I	001	1 X 1	1	2001001017200	15.43	11.58	100	Stockable	
101720	PEAS FROZEN  800GR SUNBULAH-3205I	3205I	001	1 X 1	1	6281073150104	15.43	11.58	100	Stockable	
101720	PEAS FROZEN  800GR SUNBULAH-3205I	3205I	001	1 X 1	1	6281073150111	15.43	11.58	100	Stockable	
101720	PEAS FROZEN  800GR SUNBULAH-3205I	3205I	012	12 X 1	12	2030001081478	138.1	139.01	100	Stockable	
101720	PEAS FROZEN  800GR SUNBULAH-3205I	3205I	012	12 X 1	12	26281073150108	138.1	139.01	100	Stockable	
1018	LETTUCE   ROMANI-3201C	3201C	400G	400Gram	1	2210000005600	3.48	2.1	100	Stockable	
